PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Superdomain,Domain,Phylum,Class,Order,Family,Genus,Species,ID,Replicons_name,Replicons_type,ID-replicon,fullname,GC,size,Coding size,Non-coding size,coding_percentage,non_coding_percentage,overlap,overlap_percentage
2.7020335606710963,-1.2934887558019514,-0.7767206770459427,0.16810849363467972,0.3340616441168687,0.22787804015876661,-0.504865196181691,-0.21149147268357874,0.890885793302322,0.3000147578112431,Prokaryote,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,GCF_000005845.2_ASM584v2,NC_000913.3,chromosome,chromosome_GCF_000005845.2_ASM584v2,Escherichia coli,0.508,4641652,4036314,605018,86.9585656141391,13.034540288673085,-320,-0.0068940971878115815
4.372634658172538,-0.29996580526143923,0.03258283337270794,-1.2226772656099334,0.05551063721543785,0.9744233453728751,0.8406040813050548,-1.194497904829418,0.13049256940553505,0.010373129039673825,Prokaryote,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,GCF_000009045.1_ASM904v1,NC_000964.3,chromosome,chromosome_GCF_000009045.1_ASM904v1,Bacillus subtilis,0.435,4215606,3770502,443694,89.44151801662679,10.525034834849368,-1410,-0.033447148523842125
0.43691940732508416,2.1811221329994903,-1.4842271775858469,1.819202839210951,-1.6749957213530897,1.0482652258358551,-0.04270779681494742,0.10287307036803992,0.06067308111032265,0.118048041450443,Prokaryote,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,GCF_000013425.1_ASM1342v1,NC_007795.1,chromosome,chromosome_GCF_000013425.1_ASM1342v1,Staphylococcus aureus,0.329,2821361,2377013,442545,84.25057977337887,15.68551489866061,-1803,-0.06390532796051267
2.2997584673977287,-0.44678922727118126,1.4590031679569053,-0.36769241345243736,-1.1663825181780636,-0.3918641751261462,1.5509571701550757,1.1502447285479778,-0.5872999461101559,-0.22060902643904817,Prokaryote,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,GCF_000006765.1_ASM676v1,NC_002516.2,chromosome,chromosome_GCF_000006765.1_ASM676v1,Pseudomonas aeruginosa,0.666,6264404,5616974,640494,89.66493859591431,10.224340575735537,-6936,-0.11072082835015111
-0.869463330415073,0.5954598275695786,0.40179339192787145,-1.3061013129559,0.3712771274919696,1.6727348805602757,-1.0499925011615658,0.5558585629006567,-0.6057963933120367,-0.7015703752956977,Prokaryote,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium tuberculosis,GCF_000195955.2_ASM19595v2,NC_000962.3,chromosome,chromosome_GCF_000195955.2_ASM19595v2,Mycobacterium tuberculosis,0.656,4411532,3969795,444509,89.98676650197709,10.07606881237629,2772,0.06283531435338109
2.217215762880723,-1.1705358056817086,-0.9669837143095892,-0.021334603916749094,0.6722468113469781,0.08532086460638309,-0.5889504226934164,1.2923598809142054,-0.78382281920616,1.0396125037881812,Prokaryote,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,GCF_000006945.2_ASM694v2,NC_003197.2,chromosome,chromosome_GCF_000006945.2_ASM694v2,Salmonella enterica,0.522,4857450,4324464,544572,89.02745267578668,11.211067535435259,11586,0.23852021122193742
-3.071874590375851,-0.23452622910674376,-0.12292381807216443,-0.0875624771222087,0.09980806885787913,-0.6496173608866407,0.06305318836398498,0.43773224959939483,0.23928080855995792,0.08085654408755637,Prokaryote,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,GCF_000006945.2_ASM694v2,NC_003277.2,plasmid,plasmid_pSLT_GCF_000006945.2_ASM694v2,Salmonella enterica,0.531,93933,77369,19097,82.366154599555,20.33044829825514,2533,2.6966028978101413
2.5387040602724733,3.9502446820852284,0.47770057083858564,-0.9460515571557045,0.02085945146543652,-1.3947717607175663,-0.7609108542657612,-0.27827525439626855,-0.059060823835738095,0.3354784132566722,Prokaryote,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,GCF_018885085.1_ASM1888508v1,NZ_CP076401.1,chromosome,chromosome_GCF_018885085.1_ASM1888508v1,Clostridioides difficile,0.285,4089134,3429351,652334,83.86496994229095,15.95286434731657,-7449,-0.1821657103924694
-3.3608978763807036,-0.010718360350952864,0.0915601102499965,-0.36482411371720225,-0.0024125656605469637,0.09105222557441442,0.462186947852255,-0.19568008828953845,0.3103716717964146,1.008841822739251,Prokaryote,Bacteria,Firmicutes,Clostridia,Eubacteriales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,GCF_018885085.1_ASM1888508v1,NZ_CP076402.1,plasmid,plasmid_unnamed_GCF_018885085.1_ASM1888508v1,Clostridioides difficile,0.245,6760,4189,2557,61.96745562130177,37.82544378698225,-14,-0.20710059171597633
1.4933595477134334,0.757875148227508,-1.8381480645846582,0.507416244264173,1.5920206404871777,-0.42627133255857186,1.1137959033351288,0.30169723174668284,0.32908731375962097,-0.9395125801212433,Prokaryote,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,GCF_009769205.1_ASM976920v1,NZ_CP039266.1,chromosome,chromosome_GCF_009769205.1_ASM976920v1,Lactobacillus crispatus,0.37,2023061,1743718,275950,86.19206242421757,13.640221426837845,-3393,-0.16771614894459436
-2.9256307646532664,-0.24930642086770988,-0.07600296741769927,-0.04133543401359682,0.10088151576160514,-0.12106676905611725,0.06727869978359836,0.05441908345308186,0.011674947381250658,0.01631040296174412,Prokaryote,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus crispatus,GCF_009769205.1_ASM976920v1,NZ_CP039267.1,plasmid,plasmid_pLcDC21.1_1_GCF_009769205.1_ASM976920v1,Lactobacillus crispatus,0.334,16343,10790,5553,66.02215015603011,33.97784984396989,0,0.0
2.681802027200986,-2.044536756574165,0.6445222817209063,-0.016851532265922037,-0.9199275181949853,-0.5042995503764433,-0.8539927986824353,0.0787751039666278,1.20753662469515,-0.3268293207076541,Prokaryote,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,GCF_008369605.1_ASM836960v1,NZ_CP043554.1,chromosome,chromosome_1_GCF_008369605.1_ASM836960v1,Vibrio cholerae,0.477,2948589,2614761,330051,88.67838142243629,11.193523410688977,-3777,-0.1280951668747323
0.19999606143943013,-1.768849242172626,-0.7411133357079368,0.5649827263918489,-0.313039069534734,-0.8858594285041289,-0.38694630955641324,-1.2133227637400146,-1.6395002460736796,-0.09238591318848653,Prokaryote,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio cholerae,GCF_008369605.1_ASM836960v1,NZ_CP043556.1,chromosome,chromosome_2_GCF_008369605.1_ASM836960v1,Vibrio cholerae,0.469,1140710,959964,178572,84.15495612381763,15.654460818262312,-2174,-0.19058305792006733
