,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
chromosome_GCF_000005845.2_ASM584v2,-0.3043483784214537,-0.0717556861263389,-0.0422225609298711,-0.0959844404599977,0.0877989456755476,0.0782581487133865,0.0416770118701602,0.0764012828622484,0.0428718343145962,0.0314538118511964,0.0207623857394886,0.0303561680914582,0.0135988895225438,0.0035902423942342,0.0151526232517791,0.0133363543058139,0.084593712123216,0.0494680660157667,0.0518815273792744,0.0547007267675216,0.0298977689971856
chromosome_GCF_000009045.1_ASM904v1,-0.1676726319561637,-0.136850281027684,-0.1414851618742762,-0.0488031642323432,-0.0076561026885091,0.0606154132026101,0.0615799242429517,0.0615943395208779,0.0412349687647912,0.0365118098567495,0.0265149677655364,0.0414294366826194,0.0340002533037923,0.0154405674163202,0.0274480992757473,0.027735306769774,0.0158792830767463,0.0212778089191451,0.0314203637577934,0.0401817145669989,0.0219677883857124
chromosome_GCF_000013425.1_ASM1342v1,-0.053539487095497,-0.0029953236018947,-0.0116676591716305,-0.0147926453397813,0.0162127466354584,-0.0136453331533849,0.008568744567388,0.0079400424276259,0.0303074071693971,0.0133152079451675,0.0147104048464862,0.0205346087850781,0.0139570742186107,-0.0069993291656592,0.0175233347716076,0.0229091046123557,0.022677444991929,0.027181942263675,0.0481237459610689,0.0106817297088213,-0.0109565703799818
chromosome_GCF_000006765.1_ASM676v1,-0.1685594236670272,0.0620973441907131,0.0117754172795195,0.0623745875654893,0.101072388473569,0.1134784105839232,0.0514070367548489,0.0087203040176252,0.0057831461592109,-0.0019507453312179,0.0069335543948806,-0.0039630668060225,0.0170738339059574,0.0100072455865705,0.0204730515517266,0.0363151501327073,0.0091018340750202,0.0247599119549638,0.0063988227528616,0.0067980598030251,0.0176036413013331
chromosome_GCF_000195955.2_ASM19595v2,-0.05782620637676,0.0803684621376316,-0.0333717921914658,-0.0024726412722511,0.0259658208201408,0.0629052737569218,0.04051592642833,0.0021707454952961,0.0332642317994314,-0.0049395896245969,0.0112131552617796,0.0093487600286256,0.0046889448466771,-0.003257284243061,0.0383103113642622,-0.0031117758124084,0.0248682589938375,0.0255958872738881,-0.0028696076682317,-0.0019234394383245,0.0166751380363779
chromosome_GCF_000006945.2_ASM694v2,-0.3226000418899125,-0.0189748411708112,-0.0762672179500605,-0.021186791081022,0.1211318946467804,0.1000035188961564,0.0602711957610067,0.0605254596494571,0.0559782451488811,0.0567851670249491,0.0482908770456492,0.0025131516243371,0.0332583315818562,0.0151173103702163,0.0223231733769558,0.0242353688388158,0.0549590846606289,0.0511406891739702,0.0606121743744908,0.0495741846618451,0.0353898022656309
plasmid_pSLT_GCF_000006945.2_ASM694v2,-0.1717950526730815,0.0427147915599586,0.0542657142638063,-0.0473502509560719,0.072732051564381,0.1703928168924474,0.0340330992899964,0.0766219458598041,0.1276093845793629,0.1267703199946907,0.0573923952056042,0.0855655010591312,0.057653606246774,0.1179520383613396,0.1015780126359229,0.1603079252799172,-0.0991216867600736,0.1469662993619712,0.0304550911209996,0.0798518707867683,0.0495051104049889
chromosome_GCF_018885085.1_ASM1888508v1,-0.0545716080585715,-0.0756090393509087,-0.0256149523000958,0.0201382974811365,0.0092542161157619,0.0402359288968218,0.0569164349444469,0.0553485356529512,0.047027851363645,0.0256562422980699,0.0193442775681985,-0.0091313642499729,-0.0065869388710577,-0.0108932858375723,0.0048252361746027,0.004574126659082,0.0190185899773354,0.0414886956232855,0.0065230624511348,0.0021944458091227,-0.0054101678923742
plasmid_unnamed_GCF_018885085.1_ASM1888508v1,-0.0048908476881031,-0.1202587981124921,0.2522492119663297,-0.2275169336278302,0.3475947564536656,0.2387720218964025,0.0474353409699032,0.2642309713896356,0.189277815206855,0.1838006864100309,-0.049100865246861,0.0016067655881582,-0.2611884536608452,-0.1454031184660272,-0.0133306024961843,0.0110409737934544,0.0387357580425482,-0.0156803021231016,0.2948277481790209,0.2555488145722133,0.3136176344428041
chromosome_GCF_009769205.1_ASM976920v1,-0.1188747774638414,-0.0916323310938722,-0.1169296297066511,-0.0541636065332712,0.0270943610157545,0.0309840503837585,0.0275623014445308,0.0519854810358409,0.0617513863633134,0.0271906131786857,0.043538658430702,0.0151054295200695,0.0272316011641842,0.0066547016088433,-0.006603719664607,0.013314675298443,-0.0078180552412515,0.0275254423622172,0.0379296803367887,0.0380678555276781,-0.0178926862494773
plasmid_pLcDC21.1_1_GCF_009769205.1_ASM976920v1,-0.1619128366181809,0.0253048329990989,0.093292746063618,0.0689065042496161,0.0416296106089902,0.0928642879818854,-0.0853062514638077,0.1252164463749947,0.1505787112204917,-0.0056044390673435,0.0519908234612127,0.0048369730120171,-0.2015650823420868,-0.0156653310934178,0.0978450224048756,-0.0504766527472591,-0.0040326951817558,-0.1092403320113589,0.1812892442250216,0.1990466616262298,0.1530800140682645
chromosome_1_GCF_008369605.1_ASM836960v1,-0.2667587027211733,-0.1221762768599112,-0.1496257570002767,-0.1328715886936477,0.0434946009202952,0.0665663507118231,0.0410412259534294,0.0686283842823322,0.0811591663090204,0.0682547460823743,0.0106863604688953,0.0219638246152508,0.0344655324641747,-0.012920302677854,-0.0255707768422695,0.0231598473504832,0.0496287649121731,0.046943184544469,0.0426858201101793,0.0741017504597797,0.0674373879406564
chromosome_2_GCF_008369605.1_ASM836960v1,-0.2223516529145675,-0.0592234242935369,-0.1296043024893053,-0.1394793379201799,-0.0115337074272942,0.0789076169230103,0.0468672224370678,0.0962961881354518,-0.0341374044015187,0.0944590267527911,-0.0693127580235959,0.0683917554411239,-0.0416104557180021,-0.0165959131920121,-0.1049132016873913,-0.0294511866219355,-0.06208904940873,0.1882498700749289,0.0493490322377127,0.0629741585257898,0.0091100969315303
